fund_id,fund_name,one_month,three_month,six_month,one_year,three_year,from_start
000129,大成景安短融债券B,0.49%,2.15%,3.02%,3.66%,15.81%,25.65%
000134,信诚理财28日盈A,0.35%,--,--,--,--,1.02%
000131,大成景兴信用债债券C,0.09%,1.84%,1.19%,-1.08%,33.15%,40.47%
000135,信诚理财28日盈B,0.37%,--,--,--,--,1.10%
000124,华宝服务优选混合,1.31%,7.06%,2.23%,-5.09%,78.48%,85.26%
000136,民生加银策略精选混合,0.17%,1.72%,5.58%,-0.82%,145.29%,142.10%
000137,民生加银岁岁增利A,0.29%,1.84%,1.54%,0.30%,23.07%,31.25%
000138,民生加银岁岁增利C,0.29%,1.74%,1.35%,-0.09%,21.60%,29.19%
000139,富国国有企业债债券A,0.10%,1.10%,1.50%,1.80%,14.05%,24.55%
000141,富国国有企业债C级,0.10%,1.00%,1.31%,1.40%,12.65%,22.57%
000142,融通通泰保本混合A,0.40%,0.00%,1.11%,1.21%,0.00%,17.14%
000143,鹏华双债加利债券,1.18%,4.16%,2.91%,1.43%,29.75%,38.90%
000147,易方达高等级信用债A,0.09%,1.42%,1.24%,-0.78%,13.53%,22.04%
000148,易方达高等级信用债C,0.00%,1.26%,1.08%,-1.14%,12.15%,19.89%
000149,华安双债添利债券A,0.18%,3.07%,2.40%,-0.62%,36.11%,43.46%
000150,华安双债添利债券C,0.18%,2.91%,2.05%,-1.11%,35.20%,41.96%
000130,大成景兴信用债债券A,0.18%,1.90%,1.35%,-0.72%,34.27%,42.46%
000153,大成景旭纯债C,0.09%,1.42%,1.13%,0.81%,18.81%,28.55%
000151,诺安信用一年定开债券,0.04%,1.18%,1.07%,-2.44%,20.44%,29.28%
000152,大成景旭纯债A,0.00%,1.50%,1.21%,1.08%,19.74%,30.16%
000165,国投瑞银策略精选混合,0.00%,3.15%,2.43%,4.87%,85.98%,126.99%
000166,中海安鑫保本,2.30%,0.29%,0.99%,1.59%,1.59%,35.24%
000172,华泰柏瑞量化增强混合A,0.78%,15.04%,12.49%,22.34%,114.24%,159.88%
000171,易方达裕丰回报债券,-0.20%,2.85%,3.98%,2.71%,41.19%,51.50%
000170,泰达收益增强债券B,-0.60%,1.54%,-0.50%,-1.20%,13.65%,23.99%
000173,汇添富美丽30混合,0.54%,6.82%,8.45%,4.43%,58.78%,105.30%
000167,广发聚优灵活配置混合A,-2.98%,5.50%,12.27%,13.91%,24.00%,40.00%
000174,汇添富高息债债券A,0.07%,1.09%,1.53%,3.30%,30.06%,43.07%
000177,嘉实丰益信用定期债券A,0.20%,2.00%,1.91%,2.27%,22.11%,29.41%
000178,博时灵活配置混合A,0.39%,1.45%,2.16%,1.55%,37.96%,52.17%
000175,汇添富高息债债券C,0.00%,0.96%,1.33%,2.83%,28.39%,40.46%
000176,嘉实沪深300指数研究增强,-0.10%,11.80%,12.25%,16.82%,--,24.45%
000179,广发美国房地产指数,-1.38%,-1.30%,-3.81%,-3.37%,24.98%,47.35%
000182,景顺长城四季金利债券C,-0.78%,1.43%,2.15%,1.79%,16.73%,26.71%
000180,广发美国房地产指数现汇,-0.26%,1.68%,-0.87%,-3.44%,15.59%,36.67%
000181,景顺长城四季金利债券A,-0.69%,1.59%,2.40%,2.22%,18.04%,28.63%
000183,嘉实丰益策略定期债券,0.20%,2.82%,2.10%,2.52%,21.04%,29.06%
000184,工银添福债券A,-0.96%,4.08%,1.04%,-1.78%,46.90%,65.70%
000187,华泰柏瑞丰盛纯债债券A,-0.13%,0.78%,0.90%,-0.68%,13.64%,21.71%
000185,工银添福债券B,-0.97%,3.96%,0.87%,-2.22%,44.66%,62.60%
000188,华泰柏瑞丰盛纯债债券C,-0.16%,0.69%,0.71%,-1.07%,12.64%,20.19%
000186,华泰柏瑞季季红债券,0.10%,1.29%,1.70%,0.49%,15.18%,23.56%
000189,易方达保本一号混合,5.10%,0.38%,2.24%,3.04%,2.54%,--
000190,中银新回报灵活配置混合,0.08%,2.41%,4.26%,6.59%,45.01%,55.45%
000191,富国信用债债券A,0.10%,1.70%,1.20%,-0.20%,16.51%,25.76%
000192,富国信用债债券C,0.10%,1.61%,1.00%,-0.59%,15.01%,23.56%
000193,国泰美国房地产开发股票,-4.91%,-3.89%,2.52%,2.61%,24.26%,26.00%
000194,银华信用四季红债券,0.10%,2.50%,1.29%,-0.65%,26.03%,36.27%
000195,工银保本3号混合A,1.00%,0.20%,2.12%,1.71%,0.70%,30.00%
000198,天弘余额宝货币,0.33%,1.01%,1.96%,3.39%,10.51%,17.47%
000197,富国目标收益一年期纯债债券,0.30%,1.60%,1.80%,1.49%,16.45%,25.00%
000196,工银保本3号混合B,0.30%,0.20%,1.93%,1.31%,0.00%,27.58%
000199,国泰策略收益灵活配置混合,-0.49%,1.71%,2.52%,2.89%,54.61%,68.53%
000200,博时岁岁增利一年定开债券,0.23%,1.05%,0.74%,-2.06%,23.98%,30.66%
000201,诺安泰鑫一年定期开放债券A,0.10%,1.41%,1.20%,-1.87%,15.32%,22.47%
000204,国富日日收益货币B,0.35%,1.03%,1.92%,3.27%,10.85%,16.88%
000202,富国目标收益两年期纯债债券,0.10%,1.48%,1.77%,1.86%,21.66%,31.21%
000203,国富日日收益货币A,0.33%,0.97%,1.80%,3.02%,9.98%,15.66%
000205,易方达投资级信用债债券A,0.00%,1.28%,1.10%,-1.17%,21.30%,29.31%
000206,易方达投资级信用债债券C,0.00%,1.20%,0.92%,-1.44%,20.45%,28.04%
000208,建信双债增强债券C,-0.73%,5.04%,-0.16%,-2.46%,15.38%,24.22%
000211,光大保德信现金宝货币B,0.33%,1.00%,1.95%,3.42%,10.88%,15.52%
000210,光大保德信现金宝货币A,0.30%,0.93%,1.83%,3.17%,10.09%,14.44%
000207,建信双债增强债券A,-0.64%,5.13%,0.08%,-1.96%,16.82%,26.24%
000209,信诚新兴产业混合,-0.07%,7.70%,-8.18%,-11.41%,47.04%,53.80%
000212,泰信鑫益定期开放债券A,0.19%,1.44%,0.76%,-0.37%,16.45%,22.40%
000213,泰信鑫益定期开放债券C,0.19%,1.35%,0.58%,-0.75%,14.92%,20.33%
000215,广发趋势优选灵活配置,-0.33%,2.34%,5.28%,7.12%,48.25%,59.07%
000217,华安黄金易ETF联接C,1.14%,-0.74%,-1.40%,-3.84%,8.75%,2.33%
000214,广发成长优选混合,1.39%,6.74%,7.93%,6.82%,32.12%,45.60%
000216,华安黄金易ETF联接A,1.16%,-0.67%,-1.26%,-3.60%,8.96%,2.86%
000219,博时裕益灵活配置,5.09%,13.94%,9.24%,6.91%,56.79%,49.73%
000221,汇添富年年利定期开放债券A,-0.16%,0.80%,1.21%,1.87%,18.83%,25.60%
000218,国泰黄金ETF联接A,1.10%,-0.59%,-0.95%,-2.96%,--,5.71%
000220,富国医疗保健行业混合,2.72%,-0.12%,-1.56%,-14.01%,37.54%,70.00%
000222,汇添富年年利定期开放债券C,-0.08%,0.81%,1.06%,1.56%,17.57%,23.80%
000225,长盛年年收益定期开放债券A,0.16%,1.30%,1.71%,-3.17%,17.13%,25.10%
000226,长盛年年收益定期开放债券C,0.16%,1.23%,1.56%,-3.43%,16.15%,23.70%
000227,华安年年红债券A,0.29%,1.44%,2.02%,2.80%,21.58%,31.40%
000235,诺安稳固收益一年定开债券,0.20%,1.53%,1.43%,-1.39%,10.55%,18.40%
000237,国投瑞银一年定期开放债A,0.29%,2.14%,1.95%,0.38%,17.98%,27.47%
000236,工银月月薪定期支付债券A,0.20%,2.86%,1.87%,0.55%,36.52%,47.30%
000238,国投瑞银一年定期开放债C,0.29%,2.06%,1.76%,0.19%,17.13%,26.18%
000239,华安年年盈定开债A,-0.10%,1.14%,1.67%,-4.31%,--,4.23%
000242,景顺长城策略精选,0.91%,2.39%,3.33%,8.13%,43.29%,75.90%
000241,宝盈核心优势混合C,3.15%,3.58%,-6.92%,-9.90%,29.54%,76.80%
000244,天弘稳利定期开放债券A,0.00%,0.67%,0.43%,-0.45%,21.84%,29.96%
000240,华安年年盈定开债C,-0.10%,1.04%,1.57%,-4.71%,--,3.44%
000251,工银金融地产混合,-1.69%,13.10%,11.39%,17.03%,116.63%,190.29%
000246,博时月月薪定期支付债券,-0.30%,1.02%,0.13%,-2.19%,26.74%,36.14%
000247,方正富邦互利债券,0.36%,1.55%,1.27%,2.95%,5.08%,11.60%
000245,天弘稳利定期开放债券B,-0.09%,0.58%,0.34%,-0.79%,20.50%,27.92%
000248,汇添富中证主要消费ETF联,2.24%,10.99%,15.86%,23.40%,--,24.42%
000252,景顺长城景兴信用纯债A,0.08%,2.00%,1.11%,-0.39%,17.76%,27.30%
000253,景顺长城景兴信用纯债C,0.00%,1.79%,0.89%,-0.95%,16.26%,25.10%
000255,长城增强收益定开债券C,-0.28%,1.22%,0.56%,1.02%,24.53%,33.02%
000254,长城增强收益定开债券A,-0.19%,1.31%,0.84%,1.49%,25.89%,35.11%
000256,上投摩根红利回报混合A,0.20%,2.00%,2.61%,2.09%,25.93%,37.03%
000257,上投岁岁盈定开债券A,0.10%,1.63%,1.53%,-0.81%,11.68%,18.50%
000263,工银信息产业混合,-2.32%,-4.07%,-7.88%,-19.41%,23.95%,62.63%
000258,上投岁岁盈定开债券C,0.10%,1.53%,1.43%,-1.11%,10.53%,16.83%
000259,农银区间收益混合,-1.04%,5.87%,8.37%,9.97%,99.79%,109.96%
000260,信诚季季定期支付债券,-0.60%,3.00%,3.79%,3.18%,46.32%,56.68%
000264,博时内需增长混合,-0.88%,3.68%,-6.91%,-18.15%,-11.57%,-11.83%
000269,嘉实合润双债两年期定期债券,0.00%,--,--,--,--,0.00%
000266,易方达恒久添利1年定开债券,-0.18%,1.00%,0.82%,-2.21%,--,10.60%
000265,易方达恒久添利1年定开债券,-0.09%,1.08%,0.99%,-1.84%,--,11.90%
